name,brand,price_raw,price_clean,old_price_clean,discount_percentage,rating_score,review_count,category,image,url
KalmarSt. 3L Rain Jacket II,Stoic,"120,97 €",120.97,219.95,45.0,4.7,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3939-0211_pic1_1.jpg,https://www.bergfreunde.de/stoic-kalmarst-3l-rain-jacket-ii-regenjacke/
Women's KalmarSt. 3L Rain Jacket II,Stoic,"120,97 €",120.97,219.95,45.0,4.7,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-5312-0211_pic1_1.jpg,https://www.bergfreunde.de/stoic-womens-kalmarst-3l-rain-jacket-ii-regenjacke/
Women's MerinoFleece270 KuolpaLightSt. Zip Hoody,Stoic,"93,47 €",93.47,169.95,45.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-7055-0211_pic1_1.jpg,https://www.bergfreunde.de/stoic-womens-merinofleece270-kuolpalightst-zip-hoody-merinohoodie/
Women's Merino210 EvergreenHe. Zip Hoody,Heber Peak,"64,98 €",64.98,129.95,50.0,4.5,17,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-6904-0211_pic1_1.jpg,https://www.bergfreunde.de/heber-peak-womens-merino210-evergreenhe-zip-hoody-zip-hoodie/
Merino210 EvergreenHe. Zip Hoody,Heber Peak,"64,98 €",64.98,129.95,50.0,5.0,5,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-6744-0411_pic1_1.jpg,https://www.bergfreunde.de/heber-peak-merino210-evergreenhe-zip-hoody-zip-hoodie/
Women's Retro Pile Jacket,Patagonia,"149,95 €",149.95,149.95,0.0,4.3,36,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-2827-2411_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-retro-pile-jacket-fleecejacke/
Women's PerformanceDown SalmiSt. Jacket with Hood,Stoic,"116,98 €",116.98,259.95,55.0,3.7,25,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-6236-0211_pic1_1.jpg,https://www.bergfreunde.de/stoic-womens-performancedown-salmist-jacket-with-hood-daunenjacke/
Torrentshell 3L Jacket,Patagonia,"199,95 €",199.95,199.95,0.0,4.7,79,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-2623-2911_pic1_1.jpg,https://www.bergfreunde.de/patagonia-torrentshell-3l-jacket-regenjacke/
Women's Torrentshell 3L Jacket,Patagonia,"199,95 €",199.95,199.95,0.0,4.7,61,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-3226-3411_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-torrentshell-3l-jacket-regenjacke/
Women's L.I.M GTX II Jacket,Haglöfs,"179,97 €",179.97,299.95,40.0,4.7,6,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-3770-0711_pic1_1.jpg,https://www.bergfreunde.de/hagloefs-womens-lim-gtx-ii-jacket-regenjacke/
Whiton 3L Jacket,The North Face,"ab 159,86 €",159.86,204.95,22.0,4.8,4,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3160-0611_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-whiton-3l-jacket-regenjacke/
L.I.M GTX II Jacket,Haglöfs,"179,97 €",179.97,299.95,40.0,3.8,5,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-2948-0711_pic1_1.jpg,https://www.bergfreunde.de/hagloefs-lim-gtx-ii-jacket-regenjacke/
Atom Hoody,Arc'teryx,"251,96 €",251.96,279.95,10.0,4.9,26,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_004-6289-1511_pic1_1.jpg,https://www.bergfreunde.de/arcteryx-atom-hoody-kunstfaserjacke/
Beta SL Jacket,Arc'teryx,"ab 454,95 €",454.95,454.95,0.0,4.7,29,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3141-0611_pic1_1.jpg,https://www.bergfreunde.de/arcteryx-beta-sl-jacket-regenjacke/
