name,brand,price_raw,price_clean,old_price_clean,discount_percentage,rating_score,review_count,category,image,url,metadata_profile
KalmarSt. 3L Rain Jacket II,Stoic,"120,97 €",120.97,219.95,45.0,4.7,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3939-0211_pic1_1.jpg,https://www.bergfreunde.de/stoic-kalmarst-3l-rain-jacket-ii-regenjacke/,Brand: Stoic. Product Name: KalmarSt. 3L Rain Jacket II. Category: jacken. Priced at 120.97 EUR with a 45.0% discount. This highly rated gear scored 4.7 out of 5 based on 3 customer reviews.
Women's KalmarSt. 3L Rain Jacket II,Stoic,"120,97 €",120.97,219.95,45.0,4.7,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-5312-0211_pic1_1.jpg,https://www.bergfreunde.de/stoic-womens-kalmarst-3l-rain-jacket-ii-regenjacke/,Brand: Stoic. Product Name: Women's KalmarSt. 3L Rain Jacket II. Category: jacken. Priced at 120.97 EUR with a 45.0% discount. This highly rated gear scored 4.7 out of 5 based on 3 customer reviews.
Women's MerinoFleece270 KuolpaLightSt. Zip Hoody,Stoic,"93,47 €",93.47,169.95,45.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-7055-0211_pic1_1.jpg,https://www.bergfreunde.de/stoic-womens-merinofleece270-kuolpalightst-zip-hoody-merinohoodie/,Brand: Stoic. Product Name: Women's MerinoFleece270 KuolpaLightSt. Zip Hoody. Category: jacken. Priced at 93.47 EUR with a 45.0% discount. New release product with no customer feedback evaluations available yet.
Women's Merino210 EvergreenHe. Zip Hoody,Heber Peak,"64,98 €",64.98,129.95,50.0,4.5,17,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-6904-0211_pic1_1.jpg,https://www.bergfreunde.de/heber-peak-womens-merino210-evergreenhe-zip-hoody-zip-hoodie/,Brand: Heber Peak. Product Name: Women's Merino210 EvergreenHe. Zip Hoody. Category: jacken. Priced at 64.98 EUR with a 50.0% discount. This highly rated gear scored 4.5 out of 5 based on 17 customer reviews.
Merino210 EvergreenHe. Zip Hoody,Heber Peak,"64,98 €",64.98,129.95,50.0,5.0,5,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-6744-0411_pic1_1.jpg,https://www.bergfreunde.de/heber-peak-merino210-evergreenhe-zip-hoody-zip-hoodie/,Brand: Heber Peak. Product Name: Merino210 EvergreenHe. Zip Hoody. Category: jacken. Priced at 64.98 EUR with a 50.0% discount. This highly rated gear scored 5.0 out of 5 based on 5 customer reviews.
Women's Retro Pile Jacket,Patagonia,"149,95 €",149.95,149.95,0.0,4.3,36,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-2827-2411_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-retro-pile-jacket-fleecejacke/,Brand: Patagonia. Product Name: Women's Retro Pile Jacket. Category: jacken. Priced at 149.95 EUR with a 0.0% discount. This highly rated gear scored 4.3 out of 5 based on 36 customer reviews.
Women's PerformanceDown SalmiSt. Jacket with Hood,Stoic,"116,98 €",116.98,259.95,55.0,3.7,25,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-6236-0211_pic1_1.jpg,https://www.bergfreunde.de/stoic-womens-performancedown-salmist-jacket-with-hood-daunenjacke/,Brand: Stoic. Product Name: Women's PerformanceDown SalmiSt. Jacket with Hood. Category: jacken. Priced at 116.98 EUR with a 55.0% discount. This highly rated gear scored 3.7 out of 5 based on 25 customer reviews.
Torrentshell 3L Jacket,Patagonia,"199,95 €",199.95,199.95,0.0,4.7,79,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-2623-2911_pic1_1.jpg,https://www.bergfreunde.de/patagonia-torrentshell-3l-jacket-regenjacke/,Brand: Patagonia. Product Name: Torrentshell 3L Jacket. Category: jacken. Priced at 199.95 EUR with a 0.0% discount. This highly rated gear scored 4.7 out of 5 based on 79 customer reviews.
Women's Torrentshell 3L Jacket,Patagonia,"199,95 €",199.95,199.95,0.0,4.7,61,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-3226-3411_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-torrentshell-3l-jacket-regenjacke/,Brand: Patagonia. Product Name: Women's Torrentshell 3L Jacket. Category: jacken. Priced at 199.95 EUR with a 0.0% discount. This highly rated gear scored 4.7 out of 5 based on 61 customer reviews.
Women's L.I.M GTX II Jacket,Haglöfs,"179,97 €",179.97,299.95,40.0,4.7,6,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-3770-0711_pic1_1.jpg,https://www.bergfreunde.de/hagloefs-womens-lim-gtx-ii-jacket-regenjacke/,Brand: Haglöfs. Product Name: Women's L.I.M GTX II Jacket. Category: jacken. Priced at 179.97 EUR with a 40.0% discount. This highly rated gear scored 4.7 out of 5 based on 6 customer reviews.
