2026-06-25 01:48:40,340 INFO    MainThread:44608 [wandb_setup.py:_flush():81] Current SDK version is 0.27.2
2026-06-25 01:48:40,341 INFO    MainThread:44608 [wandb_setup.py:_flush():81] Configure stats pid to 44608
2026-06-25 01:48:40,341 INFO    MainThread:44608 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-06-25 01:48:40,341 INFO    MainThread:44608 [wandb_init.py:setup_run_log_directory():723] Logging user logs to /Users/shoaiburrehmankhan/Desktop/BHT Learning/Semester 2/outdoor-recommender/wandb/run-20260625_014840-vwuosgep/logs/debug.log
2026-06-25 01:48:40,341 INFO    MainThread:44608 [wandb_init.py:setup_run_log_directory():724] Logging internal logs to /Users/shoaiburrehmankhan/Desktop/BHT Learning/Semester 2/outdoor-recommender/wandb/run-20260625_014840-vwuosgep/logs/debug-internal.log
2026-06-25 01:48:40,341 INFO    MainThread:44608 [wandb_init.py:init():766] calling init triggers
2026-06-25 01:48:40,341 INFO    MainThread:44608 [wandb_init.py:init():771] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-06-25 01:48:40,341 INFO    MainThread:44608 [wandb_init.py:init():814] starting backend
2026-06-25 01:48:40,341 INFO    MainThread:44608 [wandb_init.py:init():829] sending inform_init request
2026-06-25 01:48:40,656 INFO    MainThread:44608 [wandb_init.py:init():834] backend started and connected
2026-06-25 01:48:40,658 INFO    MainThread:44608 [wandb_init.py:init():904] updated telemetry
2026-06-25 01:48:40,676 INFO    MainThread:44608 [wandb_init.py:init():927] communicating run to backend with 90.0 second timeout
2026-06-25 01:48:41,029 INFO    MainThread:44608 [wandb_init.py:init():972] starting run threads in backend
2026-06-25 01:48:41,083 INFO    MainThread:44608 [wandb_run.py:_console_start():2523] atexit reg
2026-06-25 01:48:41,083 INFO    MainThread:44608 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-06-25 01:48:41,083 INFO    MainThread:44608 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-06-25 01:48:41,083 INFO    MainThread:44608 [wandb_run.py:_redirect():2465] Redirects installed.
2026-06-25 01:48:41,084 INFO    MainThread:44608 [wandb_init.py:init():1010] run started, returning control to user process
2026-06-25 01:48:45,036 INFO    MainThread:44608 [wandb_run.py:_config_callback():1346] config_cb None None {'w_text': 0.9132860580207763, 'w_rating': 0.5526479749338113, 'w_discount': 0.1644233761088436}
2026-06-25 01:48:45,037 INFO    MainThread:44608 [wandb_run.py:_finish():2285] finishing run shoaiburrehman249-berliner-hochschule-f-r-technik/outdoor-recommender-tuning/vwuosgep
2026-06-25 01:48:45,037 INFO    MainThread:44608 [wandb_run.py:_atexit_cleanup():2490] got exitcode: 0
2026-06-25 01:48:45,037 INFO    MainThread:44608 [wandb_run.py:_restore():2472] restore
2026-06-25 01:48:45,037 INFO    MainThread:44608 [wandb_run.py:_restore():2478] restore done
2026-06-25 01:48:46,024 INFO    MainThread:44608 [wandb_run.py:_footer_sync_info():3891] logging synced files
