2026-06-26 08:26:05,560 INFO    MainThread:59959 [wandb_setup.py:_flush():81] Current SDK version is 0.27.2
2026-06-26 08:26:05,561 INFO    MainThread:59959 [wandb_setup.py:_flush():81] Configure stats pid to 59959
2026-06-26 08:26:05,561 INFO    MainThread:59959 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-06-26 08:26:05,561 INFO    MainThread:59959 [wandb_init.py:setup_run_log_directory():723] Logging user logs to /Users/shoaiburrehmankhan/Desktop/BHT Learning/Semester 2/outdoor-recommender/wandb/run-20260626_082605-19n40btm/logs/debug.log
2026-06-26 08:26:05,561 INFO    MainThread:59959 [wandb_init.py:setup_run_log_directory():724] Logging internal logs to /Users/shoaiburrehmankhan/Desktop/BHT Learning/Semester 2/outdoor-recommender/wandb/run-20260626_082605-19n40btm/logs/debug-internal.log
2026-06-26 08:26:05,561 INFO    MainThread:59959 [wandb_init.py:init():766] calling init triggers
2026-06-26 08:26:05,561 INFO    MainThread:59959 [wandb_init.py:init():771] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-06-26 08:26:05,561 INFO    MainThread:59959 [wandb_init.py:init():814] starting backend
2026-06-26 08:26:05,561 INFO    MainThread:59959 [wandb_init.py:init():829] sending inform_init request
2026-06-26 08:26:05,867 INFO    MainThread:59959 [wandb_init.py:init():834] backend started and connected
2026-06-26 08:26:05,869 INFO    MainThread:59959 [wandb_init.py:init():904] updated telemetry
2026-06-26 08:26:05,888 INFO    MainThread:59959 [wandb_init.py:init():927] communicating run to backend with 90.0 second timeout
2026-06-26 08:26:06,291 INFO    MainThread:59959 [wandb_init.py:init():972] starting run threads in backend
2026-06-26 08:26:06,351 INFO    MainThread:59959 [wandb_run.py:_console_start():2523] atexit reg
2026-06-26 08:26:06,351 INFO    MainThread:59959 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-06-26 08:26:06,351 INFO    MainThread:59959 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-06-26 08:26:06,351 INFO    MainThread:59959 [wandb_run.py:_redirect():2465] Redirects installed.
2026-06-26 08:26:06,353 INFO    MainThread:59959 [wandb_init.py:init():1010] run started, returning control to user process
2026-06-26 08:26:12,880 INFO    MainThread:59959 [wandb_run.py:_config_callback():1346] config_cb None None {'w_sim': 0.17419428865440323, 'w_rating': 0.34349873861340663, 'w_discount': 0.7178242262147597}
2026-06-26 08:26:12,881 INFO    MainThread:59959 [wandb_run.py:_finish():2285] finishing run shoaiburrehman249-berliner-hochschule-f-r-technik/outdoor-recommender-tuning/19n40btm
2026-06-26 08:26:12,881 INFO    MainThread:59959 [wandb_run.py:_atexit_cleanup():2490] got exitcode: 0
2026-06-26 08:26:12,881 INFO    MainThread:59959 [wandb_run.py:_restore():2472] restore
2026-06-26 08:26:12,881 INFO    MainThread:59959 [wandb_run.py:_restore():2478] restore done
2026-06-26 08:26:13,950 INFO    MainThread:59959 [wandb_run.py:_footer_sync_info():3891] logging synced files
