2026-06-26 08:57:38,705 INFO    MainThread:60875 [wandb_setup.py:_flush():81] Current SDK version is 0.27.2
2026-06-26 08:57:38,706 INFO    MainThread:60875 [wandb_setup.py:_flush():81] Configure stats pid to 60875
2026-06-26 08:57:38,706 INFO    MainThread:60875 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-06-26 08:57:38,706 INFO    MainThread:60875 [wandb_init.py:setup_run_log_directory():723] Logging user logs to /Users/shoaiburrehmankhan/Desktop/BHT Learning/Semester 2/outdoor-recommender/wandb/run-20260626_085738-lwec6cj8/logs/debug.log
2026-06-26 08:57:38,706 INFO    MainThread:60875 [wandb_init.py:setup_run_log_directory():724] Logging internal logs to /Users/shoaiburrehmankhan/Desktop/BHT Learning/Semester 2/outdoor-recommender/wandb/run-20260626_085738-lwec6cj8/logs/debug-internal.log
2026-06-26 08:57:38,706 INFO    MainThread:60875 [wandb_init.py:init():766] calling init triggers
2026-06-26 08:57:38,706 INFO    MainThread:60875 [wandb_init.py:init():771] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-06-26 08:57:38,706 INFO    MainThread:60875 [wandb_init.py:init():814] starting backend
2026-06-26 08:57:38,706 INFO    MainThread:60875 [wandb_init.py:init():829] sending inform_init request
2026-06-26 08:57:39,036 INFO    MainThread:60875 [wandb_init.py:init():834] backend started and connected
2026-06-26 08:57:39,038 INFO    MainThread:60875 [wandb_init.py:init():904] updated telemetry
2026-06-26 08:57:39,055 INFO    MainThread:60875 [wandb_init.py:init():927] communicating run to backend with 90.0 second timeout
2026-06-26 08:57:39,639 INFO    MainThread:60875 [wandb_init.py:init():972] starting run threads in backend
2026-06-26 08:57:39,687 INFO    MainThread:60875 [wandb_run.py:_console_start():2523] atexit reg
2026-06-26 08:57:39,688 INFO    MainThread:60875 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-06-26 08:57:39,688 INFO    MainThread:60875 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-06-26 08:57:39,688 INFO    MainThread:60875 [wandb_run.py:_redirect():2465] Redirects installed.
2026-06-26 08:57:39,689 INFO    MainThread:60875 [wandb_init.py:init():1010] run started, returning control to user process
2026-06-26 08:57:49,547 INFO    MainThread:60875 [wandb_run.py:_config_callback():1346] config_cb None None {'w_sim': 0.9167412901764631, 'w_rating': 0.06922243044220423, 'w_discount': 0.03545908932454141}
2026-06-26 08:57:49,548 INFO    MainThread:60875 [wandb_run.py:_finish():2285] finishing run shoaiburrehman249-berliner-hochschule-f-r-technik/outdoor-recommender-tuning/lwec6cj8
2026-06-26 08:57:49,548 INFO    MainThread:60875 [wandb_run.py:_atexit_cleanup():2490] got exitcode: 0
2026-06-26 08:57:49,548 INFO    MainThread:60875 [wandb_run.py:_restore():2472] restore
2026-06-26 08:57:49,548 INFO    MainThread:60875 [wandb_run.py:_restore():2478] restore done
2026-06-26 08:57:50,520 INFO    MainThread:60875 [wandb_run.py:_footer_sync_info():3891] logging synced files
